invoice_id,supplier_gstin,receiver_gstin,invoice_date,total_value,tax_amount
INV1,55eknBc96765AZ7,82MYzmL66699iZ3,2026-01-13,13201.54,3564.42
INV2,35Syfnw01275iZ2,74uVhec21553mZ8,2026-02-17,78413.7,21171.7
INV3,23DwrBz56300gZ7,38PMJmX20323hZ3,2026-02-11,36800.34,9936.09
INV4,14SxYkR11289TZ8,54dpxbL00089WZ7,2026-01-18,72078.11,19461.09
INV5,63msqlN95515SZ9,66LIkMl34987BZ4,2026-02-10,75021.88,20255.91
INV6,29sblYP36116dZ1,63msqlN95515SZ9,2026-02-03,89508.43,24167.28
INV7,26fMqhX63048gZ9,76kobvk79549xZ4,2026-02-09,80816.98,21820.59
INV8,23DwrBz56300gZ7,54CSmUz75550cZ2,2026-02-25,98818.68,26681.04
INV9,54dpxbL00089WZ7,25UuAAm06137PZ8,2026-01-27,83042.72,22421.53
INV10,77uWbvb29064hZ5,29vpUPX48774aZ3,2026-02-01,25305.24,6832.41
INV11,26fMqhX63048gZ9,74uVhec21553mZ8,2026-02-20,77679.18,13982.25
INV12,63EUycI63969xZ9,39iHbsL80634FZ5,2026-02-01,15512.5,2792.25
INV13,43Fyoqk05241vZ8,82vQobC23384DZ4,2026-01-26,83861.05,15094.99
INV14,74kpfRL49527uZ1,80lUEqp03339hZ0,2026-01-10,36196.29,6515.33
INV15,54CSmUz75550cZ2,63msqlN95515SZ9,2026-02-24,27621.25,4971.82
INV16,90NIDfc03840QZ6,25MmruU49645dZ9,2026-01-21,52202.31,9396.42
INV17,66nhvpc15489pZ3,29sblYP36116dZ1,2026-02-14,97340.69,17521.32
INV18,25UuAAm06137PZ8,14WQpYv87024mZ8,2026-01-06,43842.84,7891.71
INV19,23DwrBz56300gZ7,35Syfnw01275iZ2,2026-01-10,31535.99,5676.48
INV20,90UnPeB57155WZ5,25UuAAm06137PZ8,2026-02-12,91942.41,16549.63
INV21,87coKkW72005VZ3,14SxYkR11289TZ8,2026-02-02,85161.72,15329.11
INV22,25Gbpsc49807fZ9,26fMqhX63048gZ9,2026-01-04,89502.23,16110.4
INV23,25Gbpsc49807fZ9,39iHbsL80634FZ5,2026-02-05,42584.22,7665.16
INV24,20KMNPq70481YZ1,65zknwJ87656nZ8,2026-02-08,73479.67,13226.34
INV25,25MmruU49645dZ9,74kpfRL49527uZ1,2026-01-08,67001.47,12060.26
INV26,95bqfMU51417SZ2,74uVhec21553mZ8,2026-02-15,17668.23,3180.28
INV27,77YYbzq29297jZ7,91mQOPH34197IZ8,2026-02-12,95053.72,17109.67
INV28,26fMqhX63048gZ9,20KMNPq70481YZ1,2026-01-27,69907.16,12583.29
INV29,29sblYP36116dZ1,43Fyoqk05241vZ8,2026-02-10,68377.46,12307.94
INV30,43Fyoqk05241vZ8,54CSmUz75550cZ2,2026-02-17,23014.09,4142.54
INV31,74uVhec21553mZ8,95bqfMU51417SZ2,2026-01-17,98080.57,17654.5
INV32,50jflNb78705MZ7,74yXNNQ22162yZ4,2026-01-05,33218.21,5979.28
INV33,63msqlN95515SZ9,25MmruU49645dZ9,2026-02-01,66895.24,12041.14
INV34,83kDkDR25969JZ2,41inREV55595IZ4,2026-02-13,45325.81,8158.65
INV35,80EmjMc45920lZ1,29vpUPX48774aZ3,2026-01-22,78023.46,14044.22
INV36,67KXgzI20045oZ8,49BlmLM01723BZ7,2026-01-14,31131.51,5603.67
INV37,14IKVtt15081YZ4,91mQOPH34197IZ8,2026-02-17,95896.24,17261.32
INV38,74yXNNQ22162yZ4,13CZMad85948AZ4,2026-01-30,86834.18,15630.15
INV39,63iSfMS96604HZ0,60dZnuO59462HZ6,2026-02-23,14785.81,2661.45
INV40,29vpUPX48774aZ3,25MmruU49645dZ9,2026-02-11,43987.86,7917.81
INV41,29sblYP36116dZ1,50OfAXd26417TZ2,2026-02-15,18199.74,3275.95
INV42,50OfAXd26417TZ2,29sblYP36116dZ1,2026-02-22,17606.03,3169.09
INV43,29sblYP36116dZ1,95bqfMU51417SZ2,2026-02-07,57173.74,10291.27
INV44,89OgTXc98031fZ6,49BlmLM01723BZ7,2026-02-03,82491.41,14848.45
INV45,77uWbvb29064hZ5,63yodbq45130rZ0,2026-01-17,79300.79,14274.14
INV46,82vQobC23384DZ4,14IKVtt15081YZ4,2026-02-03,25195.17,4535.13
INV47,44btWfP64914fZ4,63yodbq45130rZ0,2026-02-17,75455.51,13581.99
INV48,61BnfeY02186qZ9,66nhvpc15489pZ3,2026-01-11,71234.81,12822.27
INV49,80lUEqp03339hZ0,76kobvk79549xZ4,2026-01-13,35809.68,6445.74
INV50,50jflNb78705MZ7,38PMJmX20323hZ3,2026-02-05,28268.28,5088.29
INV51,87coKkW72005VZ3,26BUvmE94128AZ8,2026-01-11,25949.9,4670.98
INV52,91mQOPH34197IZ8,13CZMad85948AZ4,2026-01-31,60503.49,10890.63
INV53,26BUvmE94128AZ8,23DwrBz56300gZ7,2026-02-15,60867.17,10956.09
INV54,73AELsv87920wZ1,80EmjMc45920lZ1,2026-01-20,19554.21,3519.76
INV55,80EmjMc45920lZ1,66nhvpc15489pZ3,2026-01-21,62897.95,11321.63
INV56,63yodbq45130rZ0,23DwrBz56300gZ7,2026-01-02,75896.7,13661.41
INV57,50OfAXd26417TZ2,90NIDfc03840QZ6,2026-02-27,45390.06,8170.21
